ID,Category,Item,Size,COGS,Price,Inventory,ContainsFruit,ContainsVeggies,ContainsNuts,ContainsCaffeine,_CatWeight,_ItemWeight,_TotalWeight,_RangeWeight
CS01,Classic Smoothies,Sunrise Sunset,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,1,3,3
CS02,Classic Smoothies,Kiwi Quencher,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,1,3,6
CS03,Classic Smoothies,Paradise Point,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,3,9,15
CS04,Classic Smoothies,Sunny Day,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,1,3,18
CS05,Classic Smoothies,Mango Magic,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,3,9,27
CS06,Classic Smoothies,Blimey Limey,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,3,9,36
CS07,Classic Smoothies,Blueberry Bliss,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,1,3,39
CS08,Classic Smoothies,Rockin’ Raspberry,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,5,15,54
CS09,Classic Smoothies,Strawberry Limeade,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,4,12,66
CS10,Classic Smoothies,Peaches ‘n Silk,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,3,9,75
CS11,Classic Smoothies,Jetty Punch,24 oz.,1.50,4.99,75,TRUE,FALSE,FALSE,FALSE,3,1,3,78
SF01,Superfoods Smoothies,Island Green,24 oz.,2.10,5.99,50,TRUE,TRUE,FALSE,FALSE,2,2,4,82
SF02,Superfoods Smoothies,Totally Green,24 oz.,2.10,5.99,50,TRUE,TRUE,FALSE,FALSE,2,1,2,84
SF03,Superfoods Smoothies,Acai Berry Boost,24 oz.,2.10,5.99,50,TRUE,FALSE,FALSE,FALSE,2,4,8,92
SF04,Superfoods Smoothies,Pomegranate Plunge,24 oz.,2.10,5.99,50,TRUE,FALSE,FALSE,FALSE,2,1,2,94
SF05,Superfoods Smoothies,Caribbean C-Burst,24 oz.,2.10,5.99,50,TRUE,FALSE,FALSE,FALSE,2,5,10,104
SF06,Superfoods Smoothies,Get Up and Goji,24 oz.,2.10,5.99,50,TRUE,TRUE,FALSE,FALSE,2,4,8,112
SF07,Superfoods Smoothies,Detox Island Green,24 oz.,2.10,5.99,50,TRUE,TRUE,FALSE,FALSE,2,5,10,122
SC01,Supercharged Smoothies,Triple Berry Oat,24 oz.,2.70,5.99,35,TRUE,FALSE,FALSE,FALSE,3,5,15,137
SC02,Supercharged Smoothies,Peanut Paradise,24 oz.,2.70,5.99,35,FALSE,FALSE,FALSE,FALSE,3,1,3,140
SC03,Supercharged Smoothies,Health Nut,24 oz.,2.70,5.99,35,FALSE,FALSE,TRUE,FALSE,3,1,3,143
SC04,Supercharged Smoothies,Lean Machine,24 oz.,2.70,5.99,35,FALSE,TRUE,TRUE,TRUE,3,3,9,152
SC05,Supercharged Smoothies,Muscle Blaster,24 oz.,2.70,5.99,35,FALSE,FALSE,TRUE,TRUE,3,4,12,164
IS01,Indulgent Smoothies,Bahama Mama,24 oz.,2.20,5.49,60,TRUE,FALSE,FALSE,FALSE,4,1,4,168
IS02,Indulgent Smoothies,Peanut Butter Cup,24 oz.,2.20,5.49,60,FALSE,FALSE,TRUE,FALSE,4,3,12,180
IS03,Indulgent Smoothies,Beach Bum,24 oz.,2.20,5.49,60,TRUE,TRUE,FALSE,FALSE,4,3,12,192
IS04,Indulgent Smoothies,Mocha Madness,24 oz.,2.20,5.49,60,FALSE,FALSE,TRUE,TRUE,4,4,8,200
